train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/success_rate,time/episodes
0.8748129606246948,-17.1410145,4,342,44.3,0.006987314671278,0.001,443,89,0.0,10
1.6337652206420898,-21.6236327,15,1187,64.4,0.0028733541257679462,0.001,1288,84,0.0,20
1.9584466218948364,-20.547010933333322,22,1777,62.6,0.006563999690115452,0.001,1878,83,0.0,30
2.4240407943725586,-24.501774,37,3023,78.1,0.004685296677052975,0.001,3124,83,0.0,40
2.5665674209594727,-28.43003876,59,4805,98.12,0.0014615172985941172,0.001,4906,82,0.02,50
2.638913154602051,-31.23491568333333,99,7086,119.78333333333333,0.0023466169368475676,0.001,7187,72,0.03333333333333333,60
2.5304157733917236,-30.234148628571432,113,8279,119.71428571428571,0.003299738746136427,0.001,8380,73,0.04285714285714286,70
2.464794158935547,-30.766171762499994,163,10978,138.4875,0.003283756785094738,0.001,11079,67,0.05,80
2.178645610809326,-31.456366944444447,193,13543,151.6,0.0028954101726412773,0.001,13644,70,0.07777777777777778,90
1.9455958604812622,-30.24863946,224,14905,150.06,0.0016138353385031223,0.001,15006,66,0.1,100
1.8572782278060913,-31.666910300000005,250,17165,168.23,0.0017235304694622755,0.001,17266,68,0.14,110
2.0529026985168457,-32.030413300000006,275,19181,179.94,0.0020592561922967434,0.001,19282,70,0.18,120
1.705710768699646,-32.029739909999996,308,20653,188.76,0.004094313830137253,0.001,20754,67,0.22,130
1.9623584747314453,-29.79960315,318,21434,184.11,0.001384856179356575,0.001,21535,67,0.29,140
1.85443913936615,-27.10310218,330,22381,175.76,0.001904786447994411,0.001,22482,68,0.34,150
1.7351245880126953,-24.781665240000002,351,24069,169.83,0.0019709228072315454,0.001,24170,68,0.4,160
1.712791085243225,-24.19590466,379,25680,174.01,0.0025055408477783203,0.001,25781,67,0.44,170
1.4341152906417847,-22.47114265,394,26869,158.91,0.003087494522333145,0.001,26970,68,0.48,180
1.5408411026000977,-21.11652967,425,29343,158.0,0.0016178234945982695,0.001,29444,69,0.51,190
1.7382351160049438,-20.642496579999996,442,30446,155.41,0.004299305845052004,0.001,30547,69,0.56,200
1.4819285869598389,-19.397378219999997,459,31782,146.17,0.0014969194307923317,0.001,31883,69,0.59,210
1.3524361848831177,-18.60688562,482,33637,144.56,0.0026375805027782917,0.001,33738,69,0.58,220
1.2904865741729736,-19.837066909999997,518,35976,153.23,0.002912931377068162,0.001,36077,69,0.59,230
1.140663981437683,-20.5486684,537,37541,161.07,0.002363546285778284,0.001,37642,70,0.57,240
1.3443362712860107,-21.868898509999998,580,40031,176.5,0.006700459867715836,0.001,40132,69,0.54,250
1.3998515605926514,-22.096729690000004,605,42215,181.46,0.001608869293704629,0.001,42316,69,0.51,260
1.373637080192566,-22.325185579999996,624,43709,180.29,0.0013955358881503344,0.001,43810,70,0.5,270
1.3601397275924683,-22.334748349999998,646,45056,181.87,0.0034824854228645563,0.001,45157,69,0.47,280
1.3299351930618286,-21.248254989999996,653,45608,162.65,0.002598381834104657,0.001,45709,69,0.44,290
1.3475372791290283,-21.426549410000003,666,46689,162.43,0.002991789486259222,0.001,46790,70,0.45,300
1.4120749235153198,-20.88434935,674,47304,155.22,0.004234153311699629,0.001,47405,70,0.42,310
1.212967872619629,-20.10610188,683,48056,144.19,0.0034065747167915106,0.001,48157,70,0.42,320
1.4451854228973389,-18.859146449999997,701,49519,135.43,0.01034820917993784,0.001,49620,70,0.45,330
1.3527019023895264,-18.24284678,715,50190,126.49,0.003423263318836689,0.001,50291,70,0.42,340
1.549048662185669,-17.01119942,726,51109,110.78,0.0064909690991044044,0.001,51210,70,0.46,350
1.4949147701263428,-16.3954008,738,52131,99.16,0.005781217478215694,0.001,52232,70,0.45,360
1.2710576057434082,-16.09987758,751,53148,94.39,0.009298537857830524,0.001,53249,70,0.47,370
1.1854703426361084,-16.16266114,767,54446,93.9,0.015246761962771416,0.001,54547,71,0.51,380
1.3305323123931885,-15.951184170000001,779,54981,93.73,0.008549770340323448,0.001,55082,70,0.55,390
1.2958416938781738,-15.754344649999998,787,55707,90.18,0.0038322200998663902,0.001,55808,70,0.53,400
1.221050500869751,-16.05087885,801,56861,95.57,0.004942853003740311,0.001,56962,71,0.55,410
1.185577392578125,-16.9624264,829,59092,110.36,0.005090160295367241,0.001,59193,71,0.55,420
1.2120145559310913,-16.99021677,847,60226,107.07,0.004634459502995014,0.001,60327,71,0.49,430
1.1895134449005127,-17.11776453,862,61489,112.99,0.004231433384120464,0.001,61590,71,0.52,440
