[2026-06-12 02:09:21 +07:00] Watcher started. PIDs=28316, 31888 Deadline=06/12/2026 06:30:00
[2026-06-12 03:50:22 +07:00] Still running: 28316, 31888
[2026-06-12 03:51:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:52:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:53:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:54:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:55:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:56:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:57:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:58:23 +07:00] Still running: 28316, 31888
[2026-06-12 03:59:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:00:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:01:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:02:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:03:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:04:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:05:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:06:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:07:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:08:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:09:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:10:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:11:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:12:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:13:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:14:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:15:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:16:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:17:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:18:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:19:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:20:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:21:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:22:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:23:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:24:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:25:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:26:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:27:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:28:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:29:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:30:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:31:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:32:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:33:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:34:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:35:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:36:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:37:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:38:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:39:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:40:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:41:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:42:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:43:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:44:23 +07:00] Still running: 28316, 31888
[2026-06-12 04:45:24 +07:00] Still running: 28316, 31888
[2026-06-12 04:46:24 +07:00] Still running: 28316, 31888
[2026-06-12 04:47:24 +07:00] All watched PIDs exited at 06/12/2026 04:47:24
[2026-06-12 04:47:24 +07:00] Run check: C:\Users\MinhQuang\DRL\DRL_Pathplanning_trainning\Data\Training\SAC\FRAME_ONLY\run_20260611_185909 => final_model_present
[2026-06-12 04:47:24 +07:00] Run check: C:\Users\MinhQuang\DRL\DRL_Pathplanning_trainning\Data\Training\SAC\FRAME_ONLY\run_20260611_185740 => final_model_missing
[2026-06-12 04:47:24 +07:00] Run check: C:\Users\MinhQuang\DRL\DRL_Pathplanning_trainning\Data\Training\SAC\FRAME_ONLY\run_20260611_185515 => final_model_missing
[2026-06-12 04:47:24 +07:00] Run check: C:\Users\MinhQuang\DRL\DRL_Pathplanning_trainning\Data\Training\SAC\FRAME_ONLY\run_20260611_181223 => final_model_missing
[2026-06-12 04:47:24 +07:00] Run check: C:\Users\MinhQuang\DRL\DRL_Pathplanning_trainning\Data\Training\SAC\FRAME_ONLY\run_20260611_181151 => final_model_missing
[2026-06-12 04:47:24 +07:00] Before deadline. Scheduling shutdown in 60 seconds.
