#{"t_start": 1778042111.1141067, "env_id": "YaskawaGP7ReachPyBullet-Default-v0"}
r,l,t
-20.306338,300,238.430359
-9.324507,71,239.294122
-13.365092,50,239.889112
-28.919333,300,243.544887
-5.179444,30,243.892955
-12.326087,45,244.460196
-9.610254,57,245.143507
-9.265201,44,245.667247
-19.290462,300,249.28207
-21.443592,254,252.397982
-12.719921,53,253.044682
-26.173935,300,256.637844
-7.631883,43,257.1376
-9.253687,65,257.897572
-7.812935,45,258.430733
-6.714845,35,258.83809
-5.229318,31,259.206581
-7.374702,35,259.615772
-3.293415,27,259.938277
-12.503759,50,260.515894
-29.386272,300,264.09514
-15.980321,69,264.925918
-4.092564,29,265.277827
-25.627476,300,268.797476
-5.550222,29,269.134469
-16.609798,293,272.596162
-11.825509,51,273.181774
-16.952819,67,273.978076
-18.525739,300,277.542365
-45.370695,300,281.08855
-20.160182,300,284.677397
-4.981057,11,284.805057
-12.810733,85,285.764241
-2.944604,26,286.057164
-4.504269,29,286.393243
-14.921452,63,287.166992
-23.228949,126,288.654574
-4.30689,28,288.981692
-11.642067,45,289.526083
-5.636586,32,289.906886
-13.768553,58,290.597859
-31.085659,300,294.192075
-12.534557,48,294.754501
-11.625595,105,296.015526
-17.529589,74,296.888039
-6.374734,35,297.292935
-9.328161,59,297.996494
-3.323521,25,298.292351
-9.413941,63,299.055091
-3.805799,27,299.382075
-5.043068,30,299.738122
-6.287325,34,300.139394
-4.103249,32,300.526643
-8.644255,38,300.985935
-8.233486,39,301.473159
-15.018522,56,302.133833
-14.090652,77,303.07082
-8.259683,42,303.582236
-18.775608,261,306.699713
-10.188555,44,307.209538
-18.477457,273,310.409764
-2.714215,23,310.714153
-4.742197,35,311.121255
-42.376774,300,314.649358
-15.937539,58,315.325953
-3.75946,27,315.649113
-11.837899,50,316.248486
-5.355207,32,316.60955
-13.531551,54,317.252414
-6.428242,35,317.669594
-8.868441,79,318.579153
-12.917074,77,319.522057
-9.868946,41,320.016881
-9.632264,43,320.52357
-39.001411,300,324.049506
-16.130174,130,325.616492
-10.218921,51,326.22516
-16.895733,278,329.627799
-4.661308,29,329.982849
-16.638704,86,331.021824
-4.740438,31,331.399842
-5.8362,15,331.583322
-6.924641,38,332.037747
-8.262659,79,332.96265
-14.142604,50,333.548464
-23.267894,300,337.082538
-5.154906,33,337.459529
-10.208149,78,338.402902
-3.053858,24,338.708086
-22.991912,112,340.014158
-14.192575,25,340.307404
-26.057115,300,343.93277
-6.203478,45,344.482614
-17.889279,76,345.401791
-14.088551,49,345.993533
-10.217098,83,346.976168
-8.360193,46,347.524041
-8.761266,38,347.96169
-13.371507,51,348.580167
-26.380665,300,352.147498
-5.406901,14,352.308065
-13.181648,141,353.939293
-9.297529,43,354.43845
-2.168207,20,354.667541
-4.371009,17,354.86803
-11.172743,32,355.244939
-8.456585,37,355.677038
-4.340393,29,356.019571
-12.850992,52,356.631359
-9.325889,61,357.35462
-8.941761,32,357.735501
-8.041713,35,358.143498
-17.587784,125,359.665005
-7.000334,33,360.069899
-9.967479,43,360.570919
-12.373758,55,361.207676
-34.734954,300,364.812834
-14.069182,55,365.45624
-11.672092,89,366.499541
-10.938888,42,366.990493
-32.258389,300,370.51651
-2.748349,22,370.776814
-12.202991,51,371.437256
-14.046444,53,372.0811
-9.387476,45,372.618696
-2.069662,19,372.848208
-10.143968,36,373.286094
-10.582568,41,373.801073
-8.826264,68,374.648209
-4.419168,27,374.986344
-20.860742,300,378.614291
-42.439966,300,382.303329
-3.343985,24,382.592106
-21.470926,300,386.269696
-48.171183,238,389.286254
-5.553512,31,389.675349
-11.377238,57,390.402887
-15.71991,88,391.504941
-11.481773,48,392.147429
-6.530985,36,392.632364
-8.116331,28,393.006415
-10.540557,41,393.505857
-5.798616,35,393.941464
-10.942119,54,394.609371
-10.763432,79,395.560428
-3.964224,15,395.752912
-13.535037,55,396.430559
-11.649143,52,397.05779
-94.568619,300,400.78608
-40.595841,300,404.449325
-12.877086,52,405.086953
-8.487997,37,405.530648
-3.75641,26,405.853086
-30.663189,300,409.625417
-3.462662,24,409.916639
-26.336165,300,413.669633
-19.411514,256,416.825558
-4.266654,28,417.17467
-16.571105,178,419.413972
-23.321744,112,420.818365
-4.295235,28,421.152557
-14.335248,61,421.902602
-13.407991,54,422.644843
-8.835725,52,423.270703
-46.510893,300,426.909221
-9.658344,46,427.468028
-7.933116,41,427.940764
-4.474171,28,428.267918
-9.89391,51,428.902497
-27.897838,300,432.559177
-29.16877,300,436.192067
-7.41016,58,436.904794
-14.627339,111,438.225364
-3.924987,9,438.335071
-12.139897,51,438.920498
-3.513408,26,439.21108
-9.483523,40,439.685773
-4.287226,31,440.058673
-12.297027,39,440.538002
-15.028876,58,441.217985
-25.301588,203,443.770194
-4.746834,11,443.908823
-9.332321,45,444.438407
-8.030515,36,444.845239
-18.178988,54,445.452874
-7.20081,33,445.824159
-2.255945,20,446.079112
-8.345521,39,446.545774
-6.934504,57,447.234178
-9.973971,69,448.060053
-26.860629,300,451.641908
-4.27822,28,451.977858
-10.160304,42,452.530886
-11.575476,55,453.211789
-11.120332,136,454.926075
-26.442957,300,458.701142
-12.16551,60,459.426675
-4.87649,57,460.108975
-14.861919,64,460.901937
-9.941623,51,461.521624
-9.419992,41,462.049162
-5.643691,32,462.467813
-23.927586,300,466.240532
-7.918882,37,466.752267
-4.580744,10,466.878929
-7.198844,36,467.328329
-18.422758,265,470.639619
-8.238881,40,471.123832
-4.231039,28,471.472857
-8.464645,51,472.114061
-20.547096,133,473.759986
-16.384525,100,474.990938
-29.917477,300,478.727104
-21.309816,300,482.482581
-16.524384,300,486.201777
-13.522715,65,487.016566
-11.297556,63,487.813293
-14.438591,61,488.525721
-9.190263,48,489.091318
-2.828957,23,489.357577
-5.345696,29,489.697605
-5.640713,31,490.075267
-9.978126,58,490.800645
-8.429175,43,491.323641
-22.423661,300,495.075802
-10.436805,44,495.616153
-11.201832,60,496.345063
-18.887155,300,500.122096
-11.58748,68,500.964565
-15.049285,67,501.800061
-4.895058,30,502.168604
-13.252871,65,502.967552
-7.947553,36,503.414628
-23.889603,300,507.149702
-5.829292,31,507.518744
-5.311096,31,507.916584
-16.434226,43,508.456203
-14.251523,51,509.075956
-23.9982,300,512.827372
-23.258584,149,514.658614
-6.007661,33,515.048571
-6.342671,32,515.415349
-10.51077,48,516.012433
-7.91078,53,516.674468
-15.659265,101,517.987335
-2.014482,18,518.212386
-3.592344,25,518.519899
-11.894976,73,519.41685
-4.069592,28,519.758858
-25.211405,300,523.445484
-13.84233,59,524.187172
-9.483538,72,525.150114
-28.561592,300,528.821205
-12.466213,51,529.452848
-9.881392,139,531.161772
-4.118432,27,531.485907
-11.263921,66,532.296708
-32.044573,300,535.967498
-17.908895,300,539.652291
-10.032099,43,540.172335
-5.851968,49,540.769246
-3.125466,24,541.076421
-8.673364,42,541.605229
-4.156461,28,541.96066
-21.906875,300,545.626793
-7.474674,34,546.026694
-14.361869,54,546.67447
-11.467793,62,547.399362
-16.674103,56,548.091734
-10.396175,33,548.477969
-2.421224,21,548.726212
-10.633946,60,549.473535
-2.979056,23,549.752189
-7.052394,42,550.274793
-13.96091,79,551.232919
-10.920358,48,551.814646
-5.764109,34,552.221558
-11.995029,99,553.391926
-11.496012,45,553.9506
-10.820446,45,554.583908
-15.610548,122,556.026038
-19.069126,300,559.604272
-14.401474,85,560.626784
-6.992929,37,561.064876
-12.027735,52,561.725201
-6.416624,32,562.106181
-7.117056,36,562.525941
-12.284532,50,563.133282
-2.944529,21,563.399541
-10.983157,54,564.065717
-2.47604,20,564.315124
-8.093421,44,564.856674
-4.797677,30,565.216711
-8.73417,46,565.749582
-12.34343,51,566.344503
-10.362914,50,566.920054
-10.491818,42,567.434461
-6.097404,32,567.840889
-4.957371,20,568.13236
-11.570273,55,568.810678
-12.199589,52,569.422043
-10.049856,140,571.084486
-7.103087,35,571.530833
-24.993243,244,574.52161
-4.629325,23,574.814316
-9.871113,50,575.457248
-9.267482,99,576.653501
-3.38223,24,576.929809
-6.549555,46,577.48068
-5.909678,34,577.904546
-7.979217,46,578.491598
-5.077246,29,578.85566
-14.395375,53,579.496979
-5.790492,32,579.880082
-9.447705,51,580.492261
-11.208569,111,581.9539
-8.264545,45,582.52734
-6.282954,31,582.96955
-15.509984,56,583.72291
-28.660571,300,587.782788
-15.189984,300,591.56484
-4.228617,25,591.861048
-6.347949,31,592.231603
-9.442814,39,592.686043
-4.490759,26,593.004221
-10.534509,60,593.754902
-4.915151,32,594.158822
-5.169351,15,594.341336
-8.747729,41,594.832096
-12.932908,55,595.474575
-4.026233,25,595.764788
-13.921667,68,596.603575
-3.352638,25,596.918702
-4.736993,28,597.257796
-17.894315,80,598.191835
-5.82505,31,598.560347
-4.247985,28,598.94218
-8.471066,53,599.620325
-7.695241,38,600.104731
-7.690515,39,600.572327
-10.883194,48,601.129766
-4.832128,10,601.246454
